"","id","name","host_id"
"199",553216,"* Live like a King @ Prinsengracht",1600010
"200",553514,"B&B WestergasTverblijf , Cosy!",618589
"201",555225,"Lovely house close to the Jordaan!",2727759
"202",555399,"Amsterdam - conveniently located",1829820
"203",556829,"peaceful stay near city centre",2737834
"204",561713,"Spacious duplex apartment + terrace near centre",2761838
"205",564826,"Beautiful apartment + Lovely garden.",2778131
"206",568005,"Bright central studio with terrace",2794849
"207",568446,"Pretty apt in the center of A'dam",2797260
"208",570478,"Super nice place in Amsterdam!!",2806790
"209",570753,"Southern Comfort near Vondelpark",2439449
"210",571029,"Spacious, 2 bedrooms & garden close to the centre!",21800150
"211",571130,"Monumental Amsterdam Canalhouse",2809841
"212",572208,"AMS CENTRAL FAMILY HOME with huge garden.",2815910
"213",575603,"Loft right in the city centre",2830952
"214",575615,"Appartment in centre of Amsterdam.",2831228
"215",579851,"Private Studio on Spectacular Houseboat",2851886
"216",580978,"Cosy apartment with canal view!",2859023
"217",581342,"Comfy house with garden in De Pijp",1544456
"218",581869,"Sunny & central located apartment near Albert Cuyp",2865047
"219",582028,"Quiet large park side apartment",2865851
"220",582030,"Bright & spacious design apt. in quiet area",405625
"221",582135,"Jacky's place",2866493
"222",582382,"Amsterdam Family Home",2868026
"223",584938,"Warm Family Canal House in the Center",199266
"224",588020,"Large 3 bedroom apartment surrounde",1759884
"225",588059,"Casa Bacco @ Amsterdam city center",1501059
"226",588116,"Sweet ap. with garden and  2 bedrooms...",2901110
"227",588326,"Great 140 m2 app. lovely canalview.",2717366
"228",589194,"Lovely apartment near city centre",2906309
"229",589237,"Romantic Refuge",2906532
"230",590236,"Our Cozy Third floor Home",2912339
"231",590386,"amazing apartment in Amsterdam!!",2913467
"232",590681,"Beautiful apartment near Vondelpark",2914846
"233",591086,"CASA LOVE @ De Pijp",2655785
"234",591951,"House on waterfront - free parking",2580855
"235",593101,"Cozy room in Amsterdam's Center",2408429
"236",593483,"OvernightWorkingPlaceConnectPeopleDeHallenA'Dam",2923773
"237",594474,"Lovely apartment on TOP location",2871004
"238",601882,"Beautiful Family appartement",2977834
"239",606871,"Modern Houseboat | Canal Views! | JORDAAN AREA",3007402
"240",608432,"Sleep at Amy's B'n'B Front Room",3015785
"241",609250,"Huge luxurious (2bedr.) apt in vibrant 'oud west'!",2485229
"242",613088,"Your own cottage in the countryside",3040748
"243",619662,"Artist's flat overlooking park",749611
"244",620056,"Light, spacious apartment in trendy Westerpark",2782084
"245",623123,"Beautiful and spacious apartment with big rooftop",2695123
"246",623652,"Specious family residence near the city centre.",2980639
"247",623734,"Big apartment near Vondelpark",3093502
"248",624485,"Beautifull apartment at Westerpark",3098348
"249",626872,"Beautiful Apartment Amsterdam",3111814
"250",627188,"Sleep at Amy's B'n'B Garden Room",3015785
"251",627213,"House boat near museums in the Pijp",3113556
"252",627628,"Luxury apartment with nice garden",2504685
"253",627740,"Canal apartment on Singelgracht",3116801
"254",628465,"Cntr. Amsterdam - roof top, 1 bedrm",6522250
"255",632434,"Casa Don Mateo",3146203
"256",634170,"'Westerpark Sanctuary', Office-Apt. across W-Park.",3078488
"257",635019,"Beautiful, light apartment with huge garden!",2922757
"258",637742,"Cozy, quiet home near Vondelpark",3181829
"259",639480,"Spacious duplex with roof terrasse",3192579
"260",639981,"Beautiful apartment in Amsterdam",3195385
"261",640062,"Apartment with garden + 2 bikes",3195444
"262",641875,"Adam Canal Center- /long stay ready.",3207136
"263",642190,"Cute Condo in heart of Amsterdam",3209034
"264",642247,"Proper & clean apartment, nice neighborhood",3209315
"265",648503,"Sunny Apartm canal + roof terrace",3254029
"266",648826,"Cozy apartment centre first canal",3255626
"267",650232,"Most popular neighbourhood of A'Dam",2841990
