id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,MagicRating
27429926,Gezellige appartement 10 minuten naar het centrum,12186785,Diana,NA,IJburg - Zeeburgereiland,52.37032,4.9656,Entire home/apt,85,3,3,2018-10-10,0.1,1,0,Low
27431754,City centre apartment - private rooftop&hot tub,204514578,Sander,NA,De Baarsjes - Oud-West,52.3649,4.86561,Private room,150,5,0,NA,NA,1,0,High
27434706,COSY AND WARM || DUTCH DESIGN APT || AMSTERDAM,65859990,Martijn,NA,De Baarsjes - Oud-West,52.36748,4.85189,Entire home/apt,174,2,3,2019-10-20,0.11,81,0,High
27447025,Cosy studio in city centre,206834549,Bas,NA,Centrum-West,52.38205,4.88271,Entire home/apt,120,2,6,2019-02-23,0.22,1,0,Low
27447278,Light double bed room close to the city,44937452,Anne & Eric,NA,Westerpark,52.38378,4.87048,Private room,70,2,46,2020-02-14,1.62,1,48,Low
27448519,Private rooms on a bohemian houseboat,4387197,Rob,NA,Oud-Noord,52.39025,4.90196,Private room,100,2,41,2020-08-02,1.47,1,193,Low
27449005,Amsterdam Hidden Cottage + free parking,127727503,Inez,NA,Noord-Oost,52.38495,4.96475,Entire home/apt,105,3,6,2019-07-22,0.21,1,71,Low
27449762,SINGLE ROOM | Historic dykehouse,3879739,Anoeska,NA,Noord-Oost,52.3852,4.962,Private room,70,2,0,NA,NA,3,0,Low
27450048,Cosy Appartment-Amsterdam canalhouse experience,46544272,Priscilla,NA,De Baarsjes - Oud-West,52.36416,4.86268,Entire home/apt,177,1,18,2020-02-23,0.65,1,6,High
27455279,Stylish 2 Bedroom Apartment @ Amsterdam South,206890849,Nienja,NA,Zuid,52.34755,4.84994,Entire home/apt,90,3,8,2020-01-17,0.34,1,0,Low
27459192,NEW! Recently renovated apartment with garden,41609885,Janny,NA,Oostelijk Havengebied - Indische Buurt,52.36361,4.94193,Entire home/apt,124,3,9,2019-08-18,0.33,1,0,Low
27464499,3km from Central Station. Private entry. Big bed !,8741023,Martijn And Kim,NA,Oud-Noord,52.39911,4.90533,Private room,77,2,115,2020-08-18,4.05,2,0,Low
27466185,Quiet room in a modern apartment,14451325,Daniele,NA,Bijlmer-Oost,52.32186,4.97588,Private room,60,4,6,2019-06-01,0.21,1,0,Low
27466356,"Stylish private studio, 20 min downtown Amsterdam",34581928,Georno,NA,Noord-West,52.42342,4.88576,Private room,45,1,77,2020-03-15,2.81,1,21,Low
27473884,"Cosy one bedroom, private bathroom on Vondelpark.",111947859,Bob,NA,Zuid,52.35095,4.85679,Private room,75,2,16,2018-11-19,0.57,1,0,Low
27475373,Amsterdam Appartement,196217333,Shane,NA,Zuid,52.34929,4.8627,Entire home/apt,150,6,0,NA,NA,2,89,High
27476670,"Bright, light, botanic style appartment.",15040548,T.J.,NA,Bos en Lommer,52.37674,4.84484,Entire home/apt,89,4,6,2018-12-26,0.22,1,0,Low
27477836,Private bedroom with free Netflix and prime video!,207080206,Merlyn,NA,Slotervaart,52.35976,4.83498,Private room,32,1,106,2020-10-31,3.71,2,32,Low
27478968,1910's Completely renovated house boat @ Amstel!,207086988,Monicque,NA,Oud-Oost,52.35313,4.90901,Entire home/apt,468,3,10,2020-08-07,0.35,1,0,High
27481490,Beautiful appartement next to vondelpark,18570607,Eddie,NA,De Baarsjes - Oud-West,52.36122,4.86314,Entire home/apt,124,3,29,2019-07-30,1.02,1,0,Low
